All Public Meetings,,,,,,,"Instructions: Drinks & Agendas; If a public meeting is discussing that city's housing element, add the meeting to our map/database at www.fairhousingelements.org/calendar-form",Week of 6/25,Week of 7/8,Week of 7/16,Week of 8/5,Week of 8/12,Week of 8/26,Week of 1/13,Week of 1/20,Week of 2/03,Week of 3/17,# of agendas checked this week!/Whether Housing Element has been adopted from Jan 31 - today,www.fairhousingelements.org/calendar-form
Marin,Larkspur,,Planning Commission,979,,"2nd Tuesday, 4th Tuesday",https://www.ci.larkspur.ca.us/Archive.aspx?AMID=43,,,,,,,,,,,,
Marin,Novato,,City Council,2111,,"2nd Tuesday, 4th Tuesday",https://www.novato.org/government/city-council/agendas-minutes-videos,,,,,,,,,,,,
Marin,Novato,,Planning Commission,2111,,,https://www.novato.org/government/city-council/agendas-minutes/planning-commission,,,,,,,,,,,,
Marin,San Rafael,,City Council,3252,,"1st Monday, 3rd Monday",https://www.cityofsanrafael.org/city-council-meetings/,RM - NO,,,,,,No,,,,,
Marin,San Rafael,,Planning Commission,3252,,"2nd Tuesday, 4th Tuesday",https://www.cityofsanrafael.org/planning-commission-meetings/,,,,,,,,,,,,
Marin,Marin County,,Board of Supervisors,3510,,"1st Tuesday, 2nd Tuesday, 3rd Tuesday, 4th Tuesday",https://www.marincounty.gov/departments/board/board-supervisors-meetings#meetingagendasandvideos,RM - NO,,JF - No,,,,No,,,,,
Marin,Marin County,,Planning Commission,3510,,"2nd Monday, 4th Monday",https://www.marincounty.org/depts/cd/divisions/planning/boards-commissions-and-public-hearings/planning-commission-hearings-page,,,,,,,,,,,,
Marin,Belvedere,,City Council,160,,2nd Monday,https://www.cityofbelvedere.org/AgendaCenter/City-Council-6,,,,,,,,,,,,
Marin,Tiburon,,Town Council,639,,"1st Wednesday, 3rd Wednesday",http://www.townoftiburon.org/283/Agendas-Minutes-Staff-Reports,RM - Cancelled,,,,,,Jenny,,,,,
Marin,Sausalito,,City Council,724,,Varies,https://www.sausalito.gov/city-government/city-council/meetings-and-agendas,RM - NO,,JF - No,,,,,,,,,
Marin,Corte Madera,,Town Council,725,,"1st Tues, 3rd Tues",https://www.townofcortemadera.org/AgendaCenter/,RM - NO,,,,,,No,,,,,
Marin,San Anselmo,,City Council,833,,"2nd Tuesday, 4th Tuesday",https://sananselmo-ca.legistar.com/Calendar.aspx,,,,,,,,,,,,
Marin,Larkspur,,City Council,979,,Varies,https://www.ci.larkspur.ca.us/288/Agendas-and-Minutes,LTR - no,,JF - TBD,,,,,,,,,
Marin,Novato,,City Council,2111,,Varies,https://www.novato.org/government/city-council/agendas-minutes-videos,RM - NO,,JF - No,,,,,,,,,
Marin,Novato,,Planning Commission,2111,,"2nd Mon, 4th Mon",https://www.novato.org/government/commissions-committees-boards/planning-commission,,,,,,,,,,,,
Marin,San Rafael,,City Council,3252,,"1st Monday, 3rd Monday",https://www.cityofsanrafael.org/city-council-meetings/,RM - no,,JF - No,,,,No,,,,,
Marin,Marin County,,Board of Supervisors,3510,,Varies,https://www.marincounty.gov/departments/board/board-supervisors-meetings,RM - NO,,JF - No,,,,,,,,,
Merced,Merced,,City Council,5551,,"1st Monday, 3rd Monday",https://cityofmerced.legistar.com/Calendar.aspx,RM - YES,,,,,,,,,,,
Monterey,Del Rey Oaks,,Planning Commission,184,,2nd Wednesday,https://www.delreyoaks.org/meetings?date_filter%5Bvalue%5D%5Bmonth%5D=11&date_filter%5Bvalue%5D%5Bday%5D=19&date_filter%5Bvalue%5D%5Byear%5D=2020&date_filter_1%5Bvalue%5D%5Bmonth%5D=5&date_filter_1%5Bvalue%5D%5Bday%5D=19&date_filter_1%5Bvalue%5D%5Byear%5D=2021&field_microsite_tid=All&field_microsite_tid_1=28,,,,,,,,,,,,
Monterey,Del Rey Oaks,,City Council,184,,4th Tuesday,https://www.delreyoaks.org/meetings?field_microsite_tid_1=27,,,,,,,,,,,,
Monterey,Gonzales,,City Council,"1,266",,1st and 3rd Monday,https://gonzalesca.iqm2.com/Citizens/Default.aspx,RM - TBD,,,,,,,,,,,
Monterey,Gonzales,,Planning Commission,"1,266",,2nd Monday,http://cityofgonzales.granicus.com/viewpublisher.php?view%20id=2,,,,,,,,,,,,
Monterey,Greenfield,,Planning Commission,730,,1st Tuesday,"https://ci.greenfield.ca.us/AgendaCenter/Search/?term=&CIDs=3,&startDate=&endDate=&dateRange=&dateSelector=",RM - No,,,,,,,,,,,
Monterey,Greenfield,,City Council,730,,"1st Wednesday, 3rd Wednesday",https://ci.greenfield.ca.us/AgendaCenter/City-Council-2,RM - No,,,,,,,,,,,
Monterey,King City,,Planning Commission,702,,"1st Tues, 3rd Tuesday",https://www.kingcity.com/agendacenter,RM - Cancelled,,,,,,,,,,,
Monterey,Marina,,Planning Commission,685,,2nd and 4th Thursday,https://www.cityofmarina.org/AgendaCenter,,,,,,,,,,,,
Monterey,Monterey,,City Council,"3,654",,1st and 3rd Thursday,http://isearchmonterey.org/onbaseagendaonline/,RM - Cancelled,,,,,,,,,,,
Monterey,Pacific Grove,,City Council,"1,125",,1st & 3rd Wednesdays,https://destinyhosted.com/agenda_publish.cfm?id=72243,RM - No,,,,,,,,,,,
Monterey,Salinas,,Planning Commission,"6,674",,"1st Wednesday, 3rd Wednesday",https://salinas.legistar.com/Calendar.aspx,RM - TBD,,,,,,,,,,,
Monterey,Sand City,,City Council,260,,"1st Tues, 3rd Tuesday",https://www.sandcity.org/government/agendas-and-minutes,RM - Cancelled,,,,,,,,,,,
Monterey,Seaside,,Planning Commission,616,,1st and 3rd Thursday,http://www.ci.seaside.ca.us/129/City-Council-Committee-Agendas,RM - No,,,,,,,,,,,
Monterey,Soledad,,City Council,724,,1st Wednesday,https://cityofsoledad.com/our-city/city-government/city-council/,RM - No,,,,,,,,,,,
Monterey,Soledad,,Planning Commission,724,,2nd Thursday,https://cityofsoledad.com/our-city/city-government/boards-commissions/,,,,,,,,,,,,
Monterey,Carmel-by-the-Sea,,City Council,349,,1st Tuesday,https://ci.carmel.ca.us/meetings,RM - No,,,,,,,,,,,
Monterey,Del Rey Oaks,,Planning Commission,184,,2nd Wednesday,https://www.delreyoaks.org/meetings?date_filter%5Bvalue%5D%5Bmonth%5D=5&date_filter%5Bvalue%5D%5Bday%5D=1&date_filter%5Bvalue%5D%5Byear%5D=2023&date_filter_1%5Bvalue%5D%5Bmonth%5D=12&date_filter_1%5Bvalue%5D%5Bday%5D=31&date_filter_1%5Bvalue%5D%5Byear%5D=2023&field_microsite_tid_1=28,,,,,,,,,,,,
Monterey,Monterey County,,Board of Supervisors,"3,326",,"1st Tues, 2nd Tues, 3rd Tues, 4th Tues, 5th Tues",https://monterey.legistar.com/DepartmentDetail.aspx?ID=16920&GUID=21CA48BE-E797-4C78-97A6-257DB3CAF22E&Mode=MainBody,RM - No,,JF - No,,,,Joe - no,,,,,
Monterey,Monterey County,,Planning Commission,"3,326",,2nd & last Wednesday,https://monterey.legistar.com/Calendar.aspx,,,,,,,,,,,,
Monterey,Soledad,,Planning Commission,724,,2nd Thursday,https://www.cityofsoledad.com/public-meetings/,,,,,,,,,,,,
Napa,Yountville,,Town Council,72,,"1st Tues, 3rd Tuesday",https://www.townofyountville.com/council-3,RM - TBD,,,,,,,,,,,
Napa,Calistoga,,,120,,"1st Tues, 3rd Tuesday",https://www.ci.calistoga.ca.us/city-hall/city-council/agendas-minutes/-toggle-next7days,RM - No,,,,,,,,,,,
Napa,Calistoga,,,120,,2nd and 4th Sunday,https://www.ci.calistoga.ca.us/city-hall/planning-commission,,,,,,,,,,,,
Napa,Saint Helena,,City Council,159,,"2nd Tues, 4th Tuesday",https://sthelena.civicweb.net/Portal/MeetingTypeList.aspx,,,,,,,,,,,,
Napa,American Canyon,,City Council,451,,"1st Tues, 3rd Tuesday",https://www.cityofamericancanyon.org/government/city-hall/mayor-city-council,RM - NO,,,,,,,,,,,
Napa,American Canyon,,Planning Commission,451,,Typically fourth Thursday of each month at 6:30pm,https://www.cityofamericancanyon.org/government/city-hall/commissions-boards-committees/planning-commission,,,,,,,,,,,,
Napa,Napa County,,Planning Commission,763,,1st and 3rd Wednesday,https://napa.granicus.com/ViewPublisher.php?view_id=3,RM - Cancelled,,,,,,,,,,,
Napa,Napa,,City Council,1958,,"1st Tues, 3rd Tuesday with bonus meetings",https://napacity.legistar.com/Calendar.aspx,RM - TBD,,,,,,,,,,,
Napa,Napa,,Planning Commission,1958,,1st and 3rd Thursday,https://napacity.legistar.com/Page.aspx?M=Y,LTR - cancelled,,,,,,,,,,,
Napa,St. Helena,,City Council,254,,Varies,https://www.cityofsthelena.org/calendar.aspx?CID=25,RM - NO,,JF - No,,,,,,,,,
Napa,American Canyon,,City Council,451,,Varies,https://www.americancanyon.gov/Work/Local-Government/City-Hall/City-Clerk/Meetings-Agendas,RM - NO,,JF - No,,,,,,,,,
Napa,American Canyon,,Planning Commission,451,,4th Thursday of each month at 6:30pm,https://www.cityofamericancanyon.org/government/city-hall/city-clerk/meetings-agendas,,,,,,,,,,,,
Napa,Napa,,City Council,1958,,Varies,https://napacity.legistar.com/Calendar.aspx,RM - NO,,JF - No,,,,,,,,,
Orange,Villa Park,,City Council,296,Adopted/Out,4th Tuesday of each month at 6:30 p.m.,http://villapark.org/Council-and-Committees/Council-Agenda-and-Minutes,,,,,,,,,,No ,MZ,
Orange,Laguna Beach,,City Council,393,,"1st Tuesday, 3rd Tuesday?",https://www.lagunabeachcity.net/cityhall/citygov/cityclerk/mam.htm,,,,,,,No,,,,,
Orange,Dana Point,,City Council,530,,"1st Tuesday, 3rd Tuesday",https://www.danapoint.org/department/city-council/meetings-agendas-minutes/meetings-agendas-minutes,LTR - no,,,,,,No ,,,,,
Orange,Dana Point,,Planning Comission,530,,"2nd Monday, 4th Monday",https://www.danapoint.org/department/commissions-subcommittees-boards/planning-commission,,,,,,,,,,No,MZ,
Orange,Rancho St. Margarita,,City Council,680,,"2nd Wednesday, 4th Wednesday",https://www.cityofrsm.org/129/Agendas-Minutes,,,,,,,,,,No,MZ,
Orange,Los Alamitos,,City Council,767,,3rd Monday of every month at 6:00 p.m.,https://cityoflosalamitos.org/your-government/city-council/agendas-and-minutes/,,,JF - No,,,,Miriam ,,,,,
Orange,Los Alamitos,,Planning Commission,767,,4th Wednesday of every month at 6:00 p.m.,https://cityoflosalamitos.org/your-government/city-commissions/planning-commission/,,,,,,,,,,,,
Orange,La Palma,,City Council,800,Adopted/Out,1st Tuesday @ 6:30pm,https://www.cityoflapalma.org/72/Agendas-and-Minutes,LTR - no,,,,,,,,,,,
Orange,La Habra,,City Council,803,,"1st Monday, 3rd Monday","https://www.lahabracity.com/AgendaCenter/Search/?term=&CIDs=2,&startDate=&endDate=&dateRange=&dateSelector=",,,,,,,Miriam ,,,,,
Orange,La Habra,,Planning Commission,803,,"2nd Monday, 4th Monday",https://destinyhosted.com/agenda_publish.cfm?id=52422&mt=ALL,,,,,,,,,,,,
Orange,San Clemente,,City Council,978,Adopted/Out,"1st Tuesday, 3rd Tuesday",https://www.san-clemente.org/government/city-council/agendas,LTR - no,,,,,,Miriam ,,,,,
Orange,San Clemente,,Planning Commission,978,Adopted/Out,"1st Wednesday, 3rd Wednesday",https://www.san-clemente.org/government/commissions-committees/planning-commission,LTR - no,,,,,,No,,,,,
Orange,Laguna Woods,,City Council,993,,3rd Wednesday @ 2 pm,https://www.cityoflagunawoods.org/city-council-agendas-minutes-2024,,,JF - TBD,,,,Miriam ,,,,,
Orange,San Juan Capistrano,,City Council,1051,,"1st Tuesday, 3rd Tuesday",https://sanjuancapistrano.org/Government/Public-Meetings,LTR - cancelled,,,,,,Miriam ,,,,,
Orange,San Juan Capistrano,,Planning Comission,1051,,"2nd Wednesday, 4th Wednesday",https://sanjuancapistrano.org/Departments/City-Clerk/Public-Meetings,,,,,,,,,,No,MZ,
Orange,Aliso Viejo,,City Council,1193,,"1st Wednesday, 3rd Wednesday",https://avcity.org/129/Agendas-Minutes,LTR - cancelled,,,,,,Miriam ,,,,,
Orange,Laguna Niguel,,City Council,1204,Adopted/Out,"1st Tuesday, 3rd Tuesday",https://www.cityoflagunaniguel.org/agendacenter,,,,,,,,,,,,
Orange,Laguna Niguel,,Planning Commission,1204,Adopted/Out,"2nd Tuesday, 4th Tuesday","https://ca-lagunaniguel4.civicplus.com/AgendaCenter/Search/?term=&CIDs=8,&startDate=&endDate=&dateRange=&dateSelector=",,,,,,,,,,No,MZ,
Orange,Stanton,,City Council,1227,,"1st Wednesday, 2nd Wednesday",https://www.stantonca.gov/government/agendas___minutes/index.php,,,,,,,,,,,,
Orange,Seal Beach,,Planning Commission,1239,,"1st Monday, 3rd Monday",https://www.sealbeachca.gov/Government/Agendas-Notices-Meeting-Videos/Council-Commission-Meetings,,,,,,,,,,,,
Orange,Laguna Hills,,City Council,1980,,"2nd Tuesday, 4th Tuesday",http://lagunahillsca.iqm2.com/Citizens/Default.aspx,1,,,,,,,,,No ,,
Orange,Mission Viejo,,Planning Commission,2211,Adopted/Out,2nd Monday,https://dms.cityofmissionviejo.org/OnBaseAgendaOnline/,,,,,,,,,,,,
Orange,Mission Viejo,,City Council,2211,Adopted/Out,"2nd Tuesday, 4th Tuesday",https://missionviejo.granicus.com/ViewPublisher.php?view_id=12,,,,,,,,,,,,
Orange,Brea,A,Planning Comission,2360,Adopted/Out,4th Tuesday,http://weblink.cityofbrea.net/weblink8/browse.aspx?dbid=0&startid=33323,,,,,,,,,,,,
Orange,Brea,,City Council,2360,Adopted/Out,"1st Tues, 3rd Tuesday",https://www.ci.brea.ca.us/509/Meeting-Agendas-Minutes,,,,,,,,,,,,
Orange,Yorba Linda,,City Council,2411,,"1st Tuesday 3rd, Tuesday",https://www.yorbalindaca.gov/197/Council-Meeting-Agendas-Minutes,,,,,,,,,,,,
Orange,Yorba Linda,,Planning Commission,2411,,"2nd Thurs, 4th Thursday @ 7pm",https://www.yorbalindaca.gov/206/Planning-Commission,,,,,,,,,,Yes,,
Orange,Santa Ana,,Planning Commission,3087,,"2nd Monday, 4th Monday",https://www.santa-ana.org/cc/city-meetings?tid=en,,,,,,,,,,No,,
Orange,Lake Forest,,Planning Commission,3228,,1st Thursday,https://www.lakeforestca.gov/129/Agendas,,,,,,,,,,,,
Orange,Cypress,,Planning Division,3927,,Variable,https://www.cypressca.org/government/city-council-meetings,,,JF - Cancelled,,,,,,,,,
Orange,Orange,,Planning Commission,3927,,"1st Monday, 3rd Monday",https://cityoforange.legistar.com/Calendar.aspx,,,,,,,,,,,,
Orange,Placentia,,City Council,4365,,"1st Tuesday, 3rd Tuesday",https://www.placentia.org/667/City-Council-Meeting-Archives,,,,,,,,,,,,
Orange,Placentia,,Planning Commission,4365,,2nd Tuesday,https://www.placentia.org/Archive.aspx?AMID=37,,,,,,,,,,,,
Orange,Fountain Valley,,City Council,4827,,"1st Tuesday, 3rd Tuesday","https://www.fountainvalley.org/AgendaCenter/Search/?term=&CIDs=2,&startDate=&endDate=&dateRange=&dateSelector=",,,,,,,,,,,,
Orange,Fountain Valley,,Planning Commission,4827,,2nd Wednesday,https://www.fountainvalley.org/AgendaCenter/Planning-Commission-5,,,,,,,,,,,,
Orange,Newport Beach,,City Council,4834,,"2nd Tuesday, 4th Tuesday",https://newportbeach.legistar.com/Calendar.aspx,,,,,,,,,,No,,
Orange,Tustin,,City Council,6765,Adopted/Out,Variable,https://www.tustinca.org/282/Meetings-Agendas,,,JF - No,,,,,,,,,
Orange,Tustin,,Planning Commission,6765,Adopted/Out,,^ see above,,,,,,,,,,,,
Orange,Buena Park,A,Planning Commission,8899,,"2nd Wednesday, 4th Wednesday",https://www.buenapark.com/city_departments/city_clerk/commissions_and_committees/planning_commission.php,,,,,,,,,,,,
Orange,Buena Park,A,City Council,8899,,,http://www.buenapark.com/city-departments/city-council/council-agenda,,,,,,,,,,,,
Orange,Westminster,,Planning Commission,9737,,"1st Wednesday, 3rd Wednesday",https://www.westminster-ca.gov/departments/community-development/planning-division/planning-commission/agendas-minutes,,,,,,,,,,,,
Orange,Westminster,,City Council,9737,,"2nd Wednesday, 4th Wednesday",https://westminsterca.granicus.com/ViewPublisher.php?view_id=2,,,,,,,,,,No ,,
Orange,Costa Mesa,,City Council,11733,,"1st Monday, 3rd Monday",https://costamesa.legistar.com/Calendar.aspx,,,,,,,,,,,,
Orange,Costa Mesa,,Planning Commission,11733,,"2nd Monday, 4th Monday",https://www.costamesaca.gov/city-hall/commissions-and-committees/planning-commission/agendas-videos-minutes/2021-agendas-and-minutes,,,,,,,,,,,,
Orange,Fullerton,A,Planning Commission,13180,,"Every other Wednesday (1st, 2nd, 3rd, 4th)",https://fullerton.legistar.com/Calendar.aspx,,,JF - Cancelled,,,,ap no,,,,,
Orange,Huntington Beach,A,Planning Commission,13337,,"2nd Tuesday, 4th Tuesday",https://huntingtonbeach.legistar.com/Calendar.aspx,,,,,,,,,,No,,
Orange,Huntington Beach,A,Housing Element,13337,,Irregular,https://www.huntingtonbeachca.gov/housing-element-update/meeting-information/,,,,,,,,,,,,
Orange,Huntington Beach,,City Council,13337,,"1st Tuesday, 3rd Tuesday",https://huntingtonbeach.legistar.com/DepartmentDetail.aspx?ID=36680&GUID=BEFA9BEC-D352-4133-B594-8F0E324DF248&Mode=MainBody,,,,,,,,,,,,
Orange,Anaheim,A,Planning Commission,17411,,"Every other Monday (starting May 24) (1st, 2nd, 3rd, 4th)","http://www.anaheim.net/AgendaCenter/Search/?term=&CIDs=18,&startDate=&endDate=&dateRange=&dateSelector=",,,JF - Cancelled,,,,ap no,,,,,
Orange,Garden Grove,,Planning Commission,19122,Adopted/Out,"1st Thursday, 3rd Thursday",https://ggcity.org/commissions/planning-commission,,,,,,,,,,,,
Orange,Garden Grove,,City Council,19122,Adopted/Out,"2nd Tuesday, 4th Tuesday",https://ggcity.org/cgi-bin/city_council/videos_and_agendas.cgi,,,,,,,,,,,,
Orange,Irvine,A,Planning Commission,23554,,"1st Thursday, 3rd Thursday",https://www.cityofirvine.org/community-development/planning-commission-agendas-minutes-0#Agenda,,,,,,,,,,,,
Orange,Irvine,,City Council,23554,,"2nd Tuesday, 4th Tuesday",https://www.cityofirvine.org/government/city-council/city-council-agendas,,,,,,,,,,,,
Orange,Costa Mesa,,Planning Commission,11733,,"2nd Monday, 4th Monday","Archived Agendas, Videos, Minutes | City of Costa Mesa (costamesaca.gov)",,,,,,,,,,,,
Orange,La Habra,,City Council,803,,"1st Monday, 3rd Monday","Council Meetings | La Habra, CA - Official Website (lahabraca.gov)",,,,,,,,,,,,
Orange,Laguna Beach,,City Council,393,,"1st Tuesday, 3rd Tuesday?","Agendas, Minutes, and Meeting Videos | Laguna Beach, CA (lagunabeachcity.net)",,,,,,,,,,,,
Orange,Los Alamitos,,Planning Commission,767,,4th Wednesday of every month at 6:00 p.m.,"Planning Commission | Los Alamitos, CA (cityoflosalamitos.org)",,,,,,,,,,,,
Riverside,Canyon Lake,,City Council,128,,1st Wednesday,http://canyonlakeca.gov/agendas_minutes,,,,,,,,,,,,
Riverside,Indian Wells,,City Council,382,,"1st Thursday, 3rd Thursday",https://www.cityofindianwells.org/city-hall/current-future-agendas,,,,,,,,,,,,
Riverside,Norco,,City Council,454,Adopted/Out,"1st Wednesday, 3rd Wednesday",http://www.norco.ca.us/government/council/2021.asp,,,,,,,,,,,,
Riverside,Blythe,,City Council,493,,2nd Tuesday,https://www.cityofblythe.ca.gov/agendacenter,,,,,,,,,,,,
Riverside,La Quinta,,City Council,1526,,"1st Tuesday, 3rd Tuesday",https://www.laquintaca.gov/business/city-council/city-council-agendas,,,,,,,,,,,,
Riverside,Banning,,City Council,1668,Adopted/Out,"2nd Tuesday, 4th Tuesday",http://www.banning.ca.us/archive.aspx,,,,,,,,,,,,
Riverside,Rancho Mirage,,city council,1741,,"1st, 3rd Thursday",https://ranchomirageca.gov/our-city/city-government/city-council/agendas-staff-reports-minutes/,,,,,,,,,,,,
Riverside,Rancho Mirage,,planning commision,1741,,"2nd, 4th Thursday",https://weblink.ranchomirageca.gov/WebLink/Browse.aspx?id=303189&dbid=0&repo=RanchoMirage,,,,,,,,,,,,
Riverside,Calimesa,,City Council,2013,,"1st Monday, 3rd Monday",http://www.cityofcalimesa.net/,,,,,,,,,,,,
Riverside,Cathedral,,City Council,2542,,"2nd Wednesday, 4th Wednesday",https://www.cathedralcity.gov/i-want-to/view/city-council-meetings,,,,,,,,,,,,
Riverside,Palm Springs,,planning commision,2552,,"2nd wed, 4th wed",https://destinyhosted.com/agenda_publish.cfm?id=72567&mt=CC,,,,,,,,,,,,
Riverside,Palm Desert,,City Council,2783,,"2nd Thursday, 4th Thursday",https://www.cityofpalmdesert.org/our-city/mayor-and-city-council-/city-council-meeting-information-center,,,,,,,,,,,,
Riverside,Eastvale,,City Council,3022,,"2nd Wednesday, 4th Wednesday",https://www.eastvaleca.gov/our-city/what-s-new/calendar,,,,,,,,,,,,
Riverside,Murrieta,,Planning commision,3034,,"2nd Thursday, 4th Thursday",http://www.murrietaca.gov/129/Agendas-Minutes-Video,,,,,,,,,,,,
Riverside,Desert Hot Springs,,City Council,3865,,"1st Tuesday, 3rd Tuesday",https://cityofdhs.civicweb.net/Portal/,,,,,,,,,,,,
Riverside,Beaumont,,City Council,4202,,"1st Tuesday, 3rd Tuesday",https://beaumont-ca.municodemeetings.com/meetings3/home,JF - No,,,,,,,,,,,
Riverside,Jurupa Valley,,City Council,4485,,"1st Thursday, 3rd Thursday",https://www.jurupavalley.org/agendacenter,JF - Cancelled,,,,,,,,,,,
Riverside,Corona,,City Council,6075,Adopted/Out,"1st Wednesday, 3rd Wednesday",https://corona.legistar.com/Calendar.aspx,JF - No,,,,,,,,,,,
Riverside,Hemet,,City Council,6450,,"2nd Tuesday, 4th Tuesday",https://www.hemetca.gov/388/Agendas-Minutes,,,,,,,,,,,,
Riverside,Menifee,,City Council,6594,,"1st Wednesday, 3rd Wednesday",https://www.cityofmenifee.us/88/Agendas-Minutes-and-Videos,JF - Cancelled,,,,,,,,,,,
Riverside,Lake Elsinore,,City Council,6666,,"2nd Tuesday, 4th Tuesday",https://lake-elsinore.legistar.com/Calendar.aspx,,,,,,,,,,,,
Riverside,Indio,,City Council,7793,,"1st Wednesday, 3rd Wednesday",https://www.indio.org/departments/city-council,JF - No,,,,,,,,,,,
Riverside,Coachella,,City Council,7867,,"2nd Wednesday, 4th Wednesday",https://www.coachella.org/city-government/city-council/agendas-and-minutes,,,,,,,,,,,,
Riverside,Moreno Valley,,Planning Commission,13596,Adopted/Out,"2nd Thursday, 4th Thursday",http://morenovalleyca.iqm2.com/Citizens/default.aspx,,,,,,,,,,,,
Riverside,City of Riverside,,Planning Commission,18415,,biweekly Thurs,https://riversideca.legistar.com/Calendar.aspx,,,,,,,,,,,,
Sacramento,Elk Grove,B,city council,8263,Adopted/Out,"2nd, 4th Wed",http://www.elkgrovecity.org/city_hall/city_government/live___archived_broadcasts,,,,,,,,,,,,
San Benito,Hollister,,City Council,"4,163",,1st Monday & 3rd Monday @ 6pm,http://hollisterca.iqm2.com/Citizens/Default.aspx,JF - No,,,,,,,,,,,
San Benito,San Juan Bautista,,City Council,88,,3rd Tuesday @ 6pm,https://www.san-juan-bautista.ca.us/government/city_clerk/city_council_agendas_and_minutes.php#revize_document_center_rz2475,,,,,,,,,,,,
San Bernardino,Needles,,Planning Commission,87,,"1st Wednesday, 4pm",http://cityofneedles.com/city-meetings/planning-commission/,JF - No,,,,,,,,,,,
San Bernardino,Needles,,City Council,87,,"2nd, 4th Tuesday, 5pm",http://cityofneedles.com/city-meetings/city-council/,,,,,,,,,,,,
San Bernardino,Big Bear Lake,,City Council,212,,"1st Monday, 3rd Monday",https://www.citybigbearlake.com/index.php/government-main/city-calendar,JF - No,,,,,,,,,,,
San Bernardino,Grand Terrace,,Planning Commission,628,,"1st Thursday, 3rd Thursday @ 6:30pm",http://grandterracecityca.iqm2.com/Citizens/Default.aspx,,,,,,,,,,,,
San Bernardino,Yucca Valley,,Town Council,748,,"1st Tuesday, 3rd Tuesday @ 6:00pm",http://yuccavalleyca.iqm2.com/Citizens/default.aspx,,,,,,,,,,,,
San Bernardino,Barstow,,Planning Commission,1516,,Variable Monday/Thursday,http://barstowcityca.iqm2.com/Citizens/Calendar.aspx?View=Calendar,,,JF - No,,,,,,,,,
San Bernardino,Loma Linda,,City Council,2048,,Variable about once a month,http://www.lomalinda-ca.gov/our_city/board__city_council/city_council,,,JF - No,,,,,,,,,
San Bernardino,Loma Linda,,Planning Commission,2048,,Variable about once a month,http://www.lomalinda-ca.gov/our_city/board__city_council/planning_commission/agenda/2021,,,JF - No,,,,,,,,,
San Bernardino,Highland,,City Council,2508,,"2nd, 4th Tuesday @ 6pm",https://www.cityofhighland.org/AgendaCenter/,,,,,,,,,,,,
San Bernardino,Highland,,Planning Commission,2508,,"1st, 3rd Tuesday @ 6pm",https://www.cityofhighland.org/AgendaCenter/Planning-Commission-3,,,,,,,,,,,,
San Bernardino,Montclair,,City Council,2586,,"1st, 3rd Monday @ 7pm",https://www.cityofmontclair.org/council-meetings/,,,,,,,,,,,,
San Bernardino,Yucaipa,,City Council,2859,,"2nd Monday, 4th Monday",https://yucaipa.org/agendas-minutes/,,,,,,,,,,,,
San Bernardino,Redlands,,City Council,3507,,,https://www.cityofredlands.org/meeting-agendas-minutes,,,,,,,,,,,,
San Bernardino,Adelanto,,City Council,3756,,"2nd, 4th Wed",https://adelanto.granicus.com/ViewPublisher.php?view_id=1,,,,,,,,,,,,
San Bernardino,Apple Valley,,town council,4280,,"2nd, 4th Tues",https://www.applevalley.org/services/town-clerk/agendas,,,,,,,,,,,,
San Bernardino,Apple Valley,,Planning Commission,4280,,"1st, 3rd Wed",https://www.applevalley.org/services/planning-division/agendas,,,,,,,,,,,,
San Bernardino,Upland,,City Council,5673,,"2nd, 4th Monday @ 7pm",https://www.uplandca.gov/city-council-agendasminutes,,,,,,,,,,,,
San Bernardino,Chino,,Planning Commission,6961,,"1st, 3rd Monday",http://chinocityca.iqm2.com/citizens/default.aspx,,,,,,,,,,,,
San Bernardino,San Bernardino,,City Council,8104,,"1st, 3rd Wednesday @ 7pm",http://sanbernardinocityca.iqm2.com/Citizens/Board/1000-Mayor-and-City-Council-of-the-City-of-San-Bernardino,,,,,,,,,,,,
San Bernardino,San Bernardino,,Planning Commission,8104,,2nd Tuesday @ 6pm,http://sanbernardinocityca.iqm2.com/Citizens/Board/1033-Planning-Commission,,,,,,,,,,,,
San Bernardino,Rialto,,City Council,8252,,,https://rialto.legistar.com/Calendar.aspx,,,,,,,,,,,,
San Bernardino,Rancho Cucamonga,,City Council,10501,,"1st, 3rd Wednesday @ 7pm",https://ranchocucamonga.primegov.com/public/portal/?fromiframe=1#/,,,,,,,,,,,,
San Bernardino,Ontario,,City Council,20805,,"1st, 3rd Tuesday @ 6:30pm",https://www.ontarioca.gov/Agendas/CityCouncil,,,,,,,,,,,,
San Bernardino,Ontario,,Planning Commission,20805,,4th Tuesday @ 6:30pm,https://www.ontarioca.gov/Agendas/PlanningCommission,,,,,,,,,,,,
San Bernardino,Ontario,,Zoning Administrator,20805,,"1st, 3rd Monday @ 2pm",https://www.ontarioca.gov/Agendas/Zoning,,,JF - No,,,,ap no,,,,,
San Bernardino,Apple Valley,,town council,4280,,"2nd, 4th Tues",Town Meeting Agendas and Minutes | Town of Apple Valley,,,,,,,,,,,,
San Bernardino,Apple Valley,,Planning Commission,4280,,"1st, 3rd Wed",https://www.applevalley.org/services/planning-division/planning-commission,,,,,,,,,,,,
San Diego,Del Mar,,Planning Commission,163,Adopted/Out,2nd Tuesday,https://www.delmar.ca.us/184/Planning-Commission,,,,,,,,,,,,
